#Parameters = {Tested_Perm=40; E_r=3.55; Gap=2; Height=1; In_Rad=4.2; Sub_Thick=1.4; Width=2}
#"Frequency / GHz"	"S1,1 (Tested_Perm=40) [Magnitude]"
#-----------------------------------------------------
2.0800000000000	-9.2910994801995
2.0900000000000	-8.9280087032202
2.1000000000000	-8.5728904954555
2.1100000000000	-8.2255988804420
2.1200000000000	-7.8860164799453
2.1300000000000	-7.5540518967493
2.1400000000000	-7.2296372548623
2.1500000000000	-6.9127258557034
2.1600000000000	-6.6032899157815
2.1700000000000	-6.3013183577178
2.1800000000000	-6.0068146323714
2.1900000000000	-5.7197945554644
2.2000000000000	-5.4402841475560
2.2100000000000	-5.1683174715319
2.2200000000000	-4.9039344669636
2.2300000000000	-4.6471787857110
2.2400000000000	-4.3980956379254
2.2500000000000	-4.1567296620541
2.2600000000000	-3.9231228364233
2.2700000000000	-3.6973124533553
2.2800000000000	-3.4793291794012
2.2900000000000	-3.2691952270242
2.3000000000000	-3.0669226638240
2.3100000000000	-2.8725118850792
2.3200000000000	-2.6859502739654
2.3300000000000	-2.5072110712933
2.3400000000000	-2.3362524730821
2.3500000000000	-2.1730169698632
2.3600000000000	-2.0174309364811
2.3700000000000	-1.8694044755422
2.3800000000000	-1.7288315118105
2.3900000000000	-1.5955901290278
2.4000000000000	-1.4695431351072
2.4100000000000	-1.3505388366488
2.4200000000000	-1.2384119994642
2.4300000000000	-1.1329849684288
2.4400000000000	-1.0340689176081
2.4500000000000	-0.94146520027255
2.4600000000000	-0.85496676810738
2.4700000000000	-0.77435962958369
2.4800000000000	-0.69942431896823
2.4900000000000	-0.62993734968091
2.5000000000000	-0.56567262849965
2.5100000000000	-0.50640881028513
2.5200000000000	-0.45191144933906
2.5300000000000	-0.40195451338527
2.5400000000000	-0.35631428530759
2.5500000000000	-0.31477034267526
2.5600000000000	-0.27710642735043
2.5700000000000	-0.24311120417144
2.5800000000000	-0.21257891002730
2.5900000000000	-0.18530989658403
2.6000000000000	-0.16111107149503
2.6100000000000	-0.13979624413762
2.6200000000000	-0.12118638279470
2.6300000000000	-0.10510979077420
2.6400000000000	-0.091402209270081
2.6500000000000	-0.079906854853686
2.6600000000000	-0.070474399385307
2.6700000000000	-0.062962899887160
2.6800000000000	-0.057237685558496
2.6900000000000	-0.053171208669449
2.7000000000000	-0.050642865571517
2.7100000000000	-0.049538793531023
2.7200000000000	-0.049751648547358
2.7300000000000	-0.051180368775362
2.7400000000000	-0.053729927642442
2.7500000000000	-0.057311080245781
2.7600000000000	-0.061840106138758
2.7700000000000	-0.067238551173585
2.7800000000000	-0.073432970660564
2.7900000000000	-0.080354675735579
2.8000000000000	-0.087939484495040
2.8100000000000	-0.096127479161433
2.8200000000000	-0.10486277028081
2.8300000000000	-0.11409326872412
2.8400000000000	-0.12377046606472
2.8500000000000	-0.13384922373272
2.8600000000000	-0.14428757119976
2.8700000000000	-0.15504651332345
2.8800000000000	-0.16608984687689
2.8900000000000	-0.17738398620168
2.9000000000000	-0.18889779785293
2.9100000000000	-0.20060244404735
2.9200000000000	-0.21247123468073
2.9300000000000	-0.22447948764634
2.9400000000000	-0.23660439716001
2.9500000000000	-0.24882490977904
2.9600000000000	-0.26112160779005
2.9700000000000	-0.27347659963428
2.9800000000000	-0.28587341703596
2.9900000000000	-0.29829691850104
3.0000000000000	-0.31073319885733
3.0100000000000	-0.32317563492648
3.0200000000000	-0.33560685514941
3.0300000000000	-0.34801616410212
3.0400000000000	-0.36039379393042
3.0500000000000	-0.37273083957228
3.0600000000000	-0.38501919822435
3.0700000000000	-0.39725151279515
3.0800000000000	-0.40942111909996
3.0900000000000	-0.42152199656449
3.1000000000000	-0.43354872221668
3.1100000000000	-0.44549642775792
3.1200000000000	-0.45736075951631
3.1300000000000	-0.46913784109620
3.1400000000000	-0.48082423854853
3.1500000000000	-0.49241692789750
3.1600000000000	-0.50391326486822
3.1700000000000	-0.51531095667044
3.1800000000000	-0.52660803570149
3.1900000000000	-0.53780283504076
3.2000000000000	-0.54889396561586
3.2100000000000	-0.55988029492841
3.2200000000000	-0.57076092723427
3.2300000000000	-0.58153518508033
